parent_name,utility_name,respondent_id,year,percent_AMI,ownership,housing_units,income
Southern Co.,Alabama Power Co.,2.0,2015,60-80%,renter,46193.70475733723,1481950065.385641
Southern Co.,Alabama Power Co.,2.0,2015,80-100%,owner,81130.33009390348,3449396264.2204394
Southern Co.,Alabama Power Co.,2.0,2015,80-100%,renter,34090.19004101421,1411329558.8790896
Southern Co.,Alabama Power Co.,2.0,2014,0-30%,owner,88623.4582710778,789060567.5389591
Southern Co.,Alabama Power Co.,2.0,2014,0-30%,renter,121414.64609926482,1029197391.2205075
Southern Co.,Alabama Power Co.,2.0,2014,100%+,owner,501815.22332798806,50490435050.864006
Southern Co.,Alabama Power Co.,2.0,2014,100%+,renter,107231.34079627875,7916489942.543738
Southern Co.,Alabama Power Co.,2.0,2014,30-60%,owner,104390.48857164443,2117140008.1431136
Southern Co.,Alabama Power Co.,2.0,2014,30-60%,renter,79540.16395388222,1576395813.9125364
Southern Co.,Alabama Power Co.,2.0,2014,60-80%,owner,83508.63604626631,2636104157.389908
Southern Co.,Alabama Power Co.,2.0,2014,60-80%,renter,45942.67183602014,1418270814.9681304
Southern Co.,Alabama Power Co.,2.0,2014,80-100%,owner,80689.43920026581,3303911974.146115
Southern Co.,Alabama Power Co.,2.0,2014,80-100%,renter,33904.93189730814,1351599094.4847925
Southern Co.,Alabama Power Co.,2.0,2013,0-30%,owner,88263.65183881299,776459466.2252778
Southern Co.,Alabama Power Co.,2.0,2013,0-30%,renter,120921.70922352215,1017466013.7440137
Southern Co.,Alabama Power Co.,2.0,2013,100%+,owner,499777.88074754586,49827477943.86383
Southern Co.,Alabama Power Co.,2.0,2013,100%+,renter,106795.98737054277,7820078372.566979
Southern Co.,Alabama Power Co.,2.0,2013,30-60%,owner,103966.66885180856,2090351446.0170455
Southern Co.,Alabama Power Co.,2.0,2013,30-60%,renter,79217.23520372585,1561364415.3821027
Southern Co.,Alabama Power Co.,2.0,2013,60-80%,owner,83169.5955147268,2598305847.504254
Southern Co.,Alabama Power Co.,2.0,2013,60-80%,renter,45756.14708101149,1403135852.8899975
Southern Co.,Alabama Power Co.,2.0,2013,80-100%,owner,80361.8444549638,3257786009.7875094
Southern Co.,Alabama Power Co.,2.0,2013,80-100%,renter,33767.279713336364,1336049136.3481748
Southern Co.,Alabama Power Co.,2.0,2012,0-30%,owner,87960.34276259271,749455719.6698573
Southern Co.,Alabama Power Co.,2.0,2012,0-30%,renter,120506.17404957981,978593742.1996185
Southern Co.,Alabama Power Co.,2.0,2012,100%+,owner,498060.4448136466,48118864432.47192
Southern Co.,Alabama Power Co.,2.0,2012,100%+,renter,106428.9938052575,7540474256.726354
Southern Co.,Alabama Power Co.,2.0,2012,30-60%,owner,103609.39795229069,2019889622.482208
